uniqueID,Ha,pHa,La,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,Feedback,Block
i38-p32,22,1.0,22,32,0.5,13,0,1,False,0,True,5
i39-p33,1,1.0,1,72,0.2,-12,0,1,False,0,True,2
i40-p34,18,1.0,18,29,0.75,-16,3,2,True,0,True,2
i41-p35,27,0.25,15,88,0.4,-20,1,6,False,0,True,4
i42-p36,7,0.1,4,1,0.6,1,1,4,False,0,False,1
i43-p36,7,0.1,4,1,0.6,1,1,4,False,0,True,4
i44-p37,27,1.0,27,24,0.5,11,1,2,False,0,False,1
i45-p37,27,1.0,27,24,0.5,11,1,2,False,0,True,2
i46-p38,33,0.5,-15,17,0.6,4,2,4,False,0,False,1
i47-p38,33,0.5,-15,17,0.6,4,2,4,False,0,True,5
i48-p39,-1,1.0,-1,23,0.2,-5,0,1,False,0,True,2
i49-p40,-9,1.0,-9,-4,0.5,-20,1,2,False,0,True,3
i50-p41,-8,1.0,-8,24,0.05,-6,0,1,False,0,True,5
i51-p42,14,0.5,-34,22,0.1,-20,0,1,False,0,False,1
i52-p42,14,0.5,-34,22,0.1,-20,0,1,False,0,True,5
i53-p43,-8,0.2,-8,1,0.8,-43,0,1,False,0,False,1
i54-p44,13,1.0,13,23,0.5,15,1,6,False,0,True,4
i55-p45,2,1.0,2,59,0.2,-18,3,6,False,0,True,4
i56-p46,-5,0.99,-13,7,0.75,-44,1,4,False,-1,True,2
i57-p47,29,0.5,-31,39,0.2,-14,0,1,False,0,False,1
i58-p47,29,0.5,-31,39,0.2,-14,0,1,False,0,True,3
i59-p48,-10,1.0,-10,6,0.25,-28,1,6,False,0,True,2
i60-p49,42,0.25,26,97,0.2,13,0,1,False,0,False,1
i61-p49,42,0.25,26,97,0.2,13,0,1,False,0,True,3
i62-p50,18,0.99,-4,94,0.5,-47,0,1,False,0,False,1
i63-p51,-9,1.0,-9,53,0.01,-16,2,2,False,0,True,2
i64-p52,31,0.05,10,17,0.9,17,1,2,False,0,True,2
i65-p53,-5,1.0,-5,-5,1.0,-5,2,4,False,0,True,4
i66-p54,-2,1.0,-2,-4,0.9,-35,0,1,False,0,True,5
i67-p55,-9,1.0,-9,15,0.5,-27,1,2,False,0,False,1
i68-p56,35,0.6,-17,19,0.05,12,1,2,False,0,True,3
i69-p57,7,0.6,-18,60,0.1,-3,0,1,False,1,False,1
i70-p57,7,0.6,-18,60,0.1,-3,0,1,False,1,True,4
i71-p58,5,1.0,5,20,0.4,0,0,1,False,0,False,1
i72-p58,5,1.0,5,20,0.4,0,0,1,False,0,True,4
i73-p59,27,0.4,-6,52,0.25,-7,1,2,False,0,True,5
i74-p60,18,1.0,18,88,0.25,-10,0,1,False,0,True,2
i75-p61,15,1.0,15,14,0.75,1,0,1,True,0,False,1
i76-p61,15,1.0,15,14,0.75,1,0,1,True,0,True,4
i77-p62,11,0.4,8,27,0.5,5,0,1,False,0,True,4
i78-p63,1,1.0,1,25,0.2,8,3,3,True,0,False,1
i79-p64,14,1.0,14,83,0.4,-25,1,4,True,0,True,5
i80-p65,9,0.8,1,20,0.1,0,0,1,False,0,False,1
i81-p65,9,0.8,1,20,0.1,0,0,1,False,0,True,3
i82-p66,26,1.0,26,25,0.99,20,0,1,True,0,True,2
i83-p67,50,0.01,15,25,0.6,-2,1,2,False,1,False,1
i84-p67,50,0.01,15,25,0.6,-2,1,2,False,1,True,4
i85-p68,56,0.1,5,44,0.25,1,0,1,False,-1,True,5
i86-p69,44,0.5,0,22,1.0,22,0,1,False,0,False,1
i87-p69,44,0.5,0,22,1.0,22,0,1,False,0,True,4
i88-p70,11,1.0,11,9,0.95,7,1,8,False,0,True,3
i89-p71,18,1.0,18,24,0.8,-16,0,1,False,0,True,3
i90-p72,24,1.0,24,49,0.5,-5,0,1,False,0,True,4
i91-p73,6,0.01,5,86,0.2,0,0,1,True,0,True,2
i92-p74,31,0.05,-5,97,0.2,-32,0,1,True,0,True,4
i93-p75,17,1.0,17,42,0.2,4,1,6,False,0,True,2
i94-p76,10,0.6,7,30,0.5,-3,1,4,True,0,False,1
i95-p76,10,0.6,7,30,0.5,-3,1,4,True,0,True,5
i96-p77,11,0.4,-6,41,0.6,-50,0,1,False,1,True,5
i97-p78,55,0.25,-1,116,0.25,-23,1,8,False,1,True,4
i98-p79,13,1.0,13,12,0.99,-31,0,1,True,0,False,1
i99-p79,13,1.0,13,12,0.99,-31,0,1,True,0,True,5
i100-p80,11,1.0,11,53,0.05,4,0,1,False,0,True,5
i101-p81,6,1.0,6,22,0.75,-16,0,1,False,0,True,3
i102-p82,23,0.95,3,25,0.4,14,0,1,False,0,True,4
i103-p83,23,1.0,23,50,0.2,16,1,4,True,0,False,1
i104-p84,-9,1.0,-9,-2,0.99,-17,0,1,False,0,True,3
i105-p85,27,1.0,27,37,0.5,6,1,4,True,0,True,4
i106-p86,17,1.0,17,12,0.4,9,3,3,False,0,True,3
i107-p87,-2,1.0,-2,7,0.4,4,3,6,False,0,True,2
i108-p88,20,1.0,20,52,0.2,16,0,1,False,0,False,1
i109-p89,11,1.0,11,35,0.25,1,0,1,False,0,True,2
i110-p90,43,0.75,-16,37,0.4,4,1,6,False,0,True,2
i111-p91,-8,0.99,-40,53,0.1,-15,1,8,False,0,False,1
i112-p92,14,1.0,14,31,0.5,1,0,1,False,0,False,1
i113-p92,14,1.0,14,31,0.5,1,0,1,False,0,True,4
i114-p93,60,0.6,-23,40,0.1,31,1,8,False,1,True,5
i115-p94,6,1.0,6,51,0.4,-25,1,6,True,0,False,1
i116-p94,6,1.0,6,51,0.4,-25,1,6,True,0,True,5
i117-p95,6,1.0,6,13,0.4,1,0,1,False,0,True,2
i118-p96,24,1.0,24,33,0.75,-6,0,1,False,0,True,2
i119-p97,88,0.25,-41,-6,0.75,-35,1,6,False,0,False,1
i120-p97,88,0.25,-41,-6,0.75,-35,1,6,False,0,True,3
i121-p98,6,1.0,6,24,0.6,-40,1,6,False,0,True,3
i122-p99,19,1.0,19,19,0.99,5,1,4,False,0,True,2
i123-p100,-5,1.0,-5,6,0.8,-14,0,1,False,0,False,1
i124-p101,6,0.1,0,17,0.5,-10,0,1,False,-1,True,5
i125-p102,18,0.99,-17,22,0.95,-17,0,1,False,0,False,1
i126-p103,16,1.0,16,25,0.25,14,1,8,True,0,True,3
i127-p104,-1,1.0,-1,57,0.1,-16,1,8,False,0,True,3
i128-p105,5,1.0,5,22,0.05,8,2,6,False,0,True,5
i129-p106,26,1.0,26,49,0.25,9,1,4,False,0,True,4
i130-p107,-8,1.0,-8,11,0.01,-6,0,1,False,0,True,3
i131-p108,63,0.25,3,19,0.8,12,0,1,False,-1,False,1
i132-p108,63,0.25,3,19,0.8,12,0,1,False,-1,True,4
i133-p109,16,0.01,4,58,0.2,-9,0,1,False,0,False,1
i134-p110,69,0.1,13,40,0.25,19,2,5,False,0,False,1
i135-p110,69,0.1,13,40,0.25,19,2,5,False,0,True,2
i136-p111,25,0.01,-3,45,0.1,-5,1,2,False,1,True,2
i137-p112,18,0.8,-47,19,0.99,10,1,6,True,0,True,5
i138-p113,48,0.6,-9,42,0.6,-23,0,1,True,0,False,1
i139-p113,48,0.6,-9,42,0.6,-23,0,1,True,0,True,3
i140-p114,11,1.0,11,23,0.4,4,3,3,True,0,False,1
i141-p114,11,1.0,11,23,0.4,4,3,3,True,0,True,2
i142-p115,25,1.0,25,42,0.8,-22,0,1,False,0,False,1
i143-p115,25,1.0,25,42,0.8,-22,0,1,False,0,True,5
i144-p116,6,1.0,6,77,0.01,2,1,2,False,0,False,1
i145-p116,6,1.0,6,77,0.01,2,1,2,False,0,True,4
i146-p117,34,0.75,18,41,0.5,37,1,2,True,0,False,1
i147-p118,-3,1.0,-3,31,0.01,1,0,1,False,0,True,2
i148-p119,31,0.4,4,15,1.0,15,3,6,False,0,False,1
i149-p119,31,0.4,4,15,1.0,15,3,6,False,0,True,5
i150-p120,6,1.0,6,23,0.8,-13,0,1,False,0,False,1
i151-p120,6,1.0,6,23,0.8,-13,0,1,False,0,True,3
i152-p121,-2,1.0,-2,72,0.25,-17,0,1,True,0,False,1
i153-p121,-2,1.0,-2,72,0.25,-17,0,1,True,0,True,5
i154-p122,32,0.8,-34,17,0.2,9,0,1,False,0,True,2
i155-p123,-2,1.0,-2,-1,0.75,-4,0,1,False,0,True,2
i156-p124,38,0.05,3,24,0.6,-22,3,2,True,0,False,1
i157-p124,38,0.05,3,24,0.6,-22,3,2,True,0,True,3
i158-p125,29,1.0,29,111,0.01,36,2,2,False,0,True,3
i159-p126,7,1.0,7,22,0.01,9,1,8,False,0,False,1
i160-p126,7,1.0,7,22,0.01,9,1,8,False,0,True,5
i161-p127,29,0.2,-6,-2,0.8,-6,1,2,False,1,True,5
i162-p128,21,0.6,-11,20,0.75,-23,3,4,False,0,False,1
i163-p128,21,0.6,-11,20,0.75,-23,3,4,False,0,True,3
i164-p129,-4,1.0,-4,43,0.5,-48,1,4,False,0,True,5
i165-p130,77,0.1,25,59,0.25,15,0,1,True,0,True,2
i166-p131,98,0.1,-6,4,1.0,4,1,2,False,0,False,1
i167-p131,98,0.1,-6,4,1.0,4,1,2,False,0,True,2
i168-p132,22,0.6,0,16,0.6,12,2,5,True,1,True,4
i169-p133,10,0.01,-4,72,0.25,-35,3,4,False,0,True,4
i170-p134,10,1.0,10,42,0.25,-5,2,7,True,0,True,3
i171-p135,21,1.0,21,90,0.1,16,0,1,False,0,False,1
i172-p136,28,1.0,28,39,0.25,19,1,2,False,0,False,1
i173-p137,2,0.25,-10,35,0.01,-10,2,7,False,0,False,1
i174-p137,2,0.25,-10,35,0.01,-10,2,7,False,0,True,2
i175-p138,-9,0.8,-15,-10,1.0,-10,1,4,False,0,False,1
i176-p138,-9,0.8,-15,-10,1.0,-10,1,4,False,0,True,5
i177-p139,21,1.0,21,110,0.25,0,1,8,True,0,True,2
i178-p140,27,1.0,27,70,0.5,-9,3,3,False,0,False,1
i179-p140,27,1.0,27,70,0.5,-9,3,3,False,0,True,2
i180-p141,22,1.0,22,72,0.01,27,1,4,False,0,True,2
i181-p142,44,0.4,14,26,1.0,26,0,1,False,0,True,2
i182-p143,15,1.0,15,24,0.75,15,3,4,False,0,True,3
i183-p144,0,1.0,0,20,0.05,-5,0,1,False,0,True,5
i184-p145,8,1.0,8,11,0.9,7,0,1,False,0,True,3
i185-p146,30,0.8,-15,23,0.05,17,3,3,False,0,False,1
i186-p146,30,0.8,-15,23,0.05,17,3,3,False,0,True,5
i187-p147,-2,1.0,-2,-3,0.75,-6,0,1,False,0,False,1
i188-p148,11,1.0,11,33,0.75,-37,0,1,False,0,False,1
i189-p148,11,1.0,11,33,0.75,-37,0,1,False,0,True,5
i190-p149,88,0.25,-24,108,0.25,-25,1,2,False,0,True,4
i191-p150,22,1.0,22,23,0.2,20,2,4,False,0,True,2
i192-p151,31,0.5,5,65,0.4,-4,0,1,False,0,False,1
i193-p152,25,1.0,25,40,0.05,30,2,6,False,0,True,2
i194-p153,25,1.0,25,38,0.8,22,1,6,False,0,True,5
i195-p154,28,1.0,28,23,0.8,16,1,4,False,0,True,2
i196-p155,63,0.6,-29,32,0.75,22,1,8,False,0,True,3
i197-p156,-1,0.9,-25,1,0.4,-7,0,1,False,0,False,1
i198-p157,23,1.0,23,89,0.5,-40,0,1,False,0,False,1
i199-p158,35,0.25,-18,48,0.05,-15,0,1,True,0,True,4
i200-p159,0,1.0,0,3,0.9,-13,0,1,False,0,True,2
i201-p160,15,1.0,15,51,0.5,-38,0,1,False,0,False,1
i202-p161,29,0.95,2,38,0.4,25,2,4,True,1,False,1
i203-p161,29,0.95,2,38,0.4,25,2,4,True,1,True,4
i204-p162,6,1.0,6,3,0.5,-1,0,1,True,0,True,2
i205-p163,22,1.0,22,56,0.4,-8,0,1,False,0,True,3
i206-p164,-2,1.0,-2,6,0.2,-10,3,5,False,0,True,4
i207-p165,-1,1.0,-1,23,0.05,-3,1,6,False,0,True,2
i208-p166,-2,1.0,-2,87,0.2,-20,0,1,False,0,True,3
i209-p167,3,1.0,3,30,0.5,-16,1,4,False,0,False,1
i210-p168,-1,0.2,-2,-2,1.0,-2,1,8,False,0,True,4
i211-p169,27,1.0,27,41,0.25,7,0,1,False,0,True,3
i212-p170,30,1.0,30,40,0.75,4,0,1,True,0,True,4
i213-p171,40,0.5,18,29,1.0,29,1,4,False,0,False,1
i214-p172,-7,1.0,-7,24,0.5,-32,0,1,False,0,False,1
i215-p172,-7,1.0,-7,24,0.5,-32,0,1,False,0,True,2
i216-p173,18,0.75,-19,78,0.2,-6,1,6,False,-1,False,1
i217-p174,-7,1.0,-7,-2,0.8,-48,0,1,True,0,False,1
i218-p175,-4,1.0,-4,27,0.05,-8,0,1,False,0,True,3
i219-p176,24,0.5,22,23,1.0,23,1,4,False,0,True,4
i220-p177,21,0.75,21,115,0.4,-45,0,1,True,0,True,4
i221-p178,13,1.0,13,14,0.95,11,0,1,True,0,True,5
i222-p179,3,1.0,3,5,0.9,-39,3,4,False,0,False,1
i223-p180,-4,1.0,-4,34,0.05,-11,0,1,False,0,True,4
i224-p181,17,1.0,17,17,0.8,-40,2,6,False,0,True,5
i225-p182,27,0.8,1,22,0.8,5,0,1,False,1,False,1
i226-p182,27,0.8,1,22,0.8,5,0,1,False,1,True,5
i227-p183,1,1.0,1,59,0.2,-14,0,1,False,0,True,5
i228-p184,21,1.0,21,57,0.4,18,1,8,False,0,True,3
i229-p185,15,0.25,-4,20,0.6,-10,1,4,True,0,False,1
i230-p185,15,0.25,-4,20,0.6,-10,1,4,True,0,True,5
i231-p186,67,0.05,15,26,0.5,12,1,2,True,0,False,1
i232-p186,67,0.05,15,26,0.5,12,1,2,True,0,True,5
i233-p187,12,1.0,12,81,0.05,17,0,1,False,0,False,1
i234-p188,-6,1.0,-6,2,0.99,-4,0,1,False,0,True,2
i235-p189,11,1.0,11,21,0.05,15,1,4,False,0,True,4
i236-p190,5,0.75,5,41,0.4,-14,0,1,True,0,True,4
i237-p191,7,1.0,7,50,0.6,-32,1,8,False,0,True,2
i238-p192,28,0.01,2,14,0.1,-2,0,1,False,0,False,1
i239-p193,10,1.0,10,30,0.5,-16,0,1,True,0,False,1
i240-p193,10,1.0,10,30,0.5,-16,0,1,True,0,True,2
i241-p194,19,0.99,-32,44,0.2,29,2,6,True,1,True,4
i242-p195,5,0.6,-18,51,0.1,-17,0,1,True,0,True,2
i243-p196,12,1.0,12,89,0.25,-7,0,1,False,0,True,5
i244-p197,24,1.0,24,79,0.1,15,2,4,True,0,False,1
i245-p197,24,1.0,24,79,0.1,15,2,4,True,0,True,4
i246-p198,17,0.8,12,56,0.4,-14,3,2,False,0,True,2
i247-p199,18,1.0,18,25,0.9,-26,1,4,False,0,True,4
i248-p200,-3,1.0,-3,-7,0.05,-7,1,8,True,0,True,2
i249-p201,-2,1.0,-2,18,0.2,-9,3,3,True,0,True,5
i250-p202,66,0.05,11,97,0.05,2,1,8,True,1,False,1
i251-p202,66,0.05,11,97,0.05,2,1,8,True,1,True,4
i252-p203,12,0.75,5,22,0.8,-14,0,1,False,1,True,5
i253-p204,12,0.4,-20,30,0.01,4,2,3,False,0,True,5
i254-p205,27,0.4,17,21,1.0,21,0,1,False,0,True,2
i255-p206,7,0.6,-6,84,0.25,-27,0,1,False,0,True,5
i256-p207,16,1.0,16,50,0.2,4,0,1,False,0,True,3
i257-p208,45,0.6,-13,55,0.1,29,1,8,True,0,True,2
i258-p209,27,0.1,11,87,0.1,11,3,5,False,0,True,4
i259-p210,8,1.0,8,71,0.01,3,0,1,True,0,False,1
i260-p211,72,0.4,-5,59,0.4,3,1,6,True,-1,True,5
i261-p212,25,1.0,25,65,0.4,5,2,4,False,0,True,5
i262-p213,18,1.0,18,53,0.2,3,2,3,False,0,True,5
i263-p214,24,1.0,24,24,0.95,-15,2,7,False,0,False,1
i264-p214,24,1.0,24,24,0.95,-15,2,7,False,0,True,3
i265-p215,6,0.9,-34,45,0.1,13,1,6,False,0,True,2
i266-p216,12,1.0,12,3,0.9,0,0,1,False,0,True,3
i267-p217,-10,1.0,-10,3,0.6,-21,0,1,False,0,False,1
i268-p218,15,0.2,-16,-10,1.0,-10,0,1,False,0,True,5
i269-p219,-9,1.0,-9,9,0.05,-10,0,1,True,0,False,1
i270-p219,-9,1.0,-9,9,0.05,-10,0,1,True,0,True,2
i271-p220,60,0.25,-31,109,0.1,-18,0,1,False,0,True,3
i272-p221,15,0.95,-45,12,1.0,12,1,4,True,0,True,3
i273-p222,-1,1.0,-1,9,0.1,2,0,1,False,0,True,3
i274-p223,25,1.0,25,46,0.1,16,0,1,True,0,False,1
i275-p223,25,1.0,25,46,0.1,16,0,1,True,0,True,4
i276-p224,6,1.0,6,61,0.25,-3,0,1,True,0,True,2
i277-p225,12,1.0,12,8,0.8,-18,1,2,False,0,True,3
i278-p226,90,0.4,-35,107,0.2,-5,1,4,False,0,True,4
i279-p227,16,0.25,15,102,0.4,-48,0,1,False,0,False,1
i280-p228,26,1.0,26,38,0.01,28,1,8,False,0,False,1
i281-p229,-1,1.0,-1,36,0.25,-9,3,5,False,0,False,1
i282-p230,78,0.2,-28,41,0.01,-6,1,2,False,0,False,1
i283-p231,5,0.25,1,2,1.0,2,1,2,False,0,True,4
i284-p232,27,0.4,27,75,0.5,-24,0,1,False,0,False,1
i285-p232,27,0.4,27,75,0.5,-24,0,1,False,0,True,5
i286-p233,-1,1.0,-1,-1,1.0,-1,3,2,False,0,False,1
i287-p233,-1,1.0,-1,-1,1.0,-1,3,2,False,0,True,2
i288-p234,12,0.1,8,14,0.25,14,2,7,False,0,True,4
i289-p235,4,1.0,4,65,0.2,-11,0,1,False,0,True,2
i290-p236,26,1.0,26,29,0.4,23,0,1,False,0,False,1
i291-p236,26,1.0,26,29,0.4,23,0,1,False,0,True,2
i292-p237,54,0.4,-21,25,0.1,18,0,1,False,0,False,1
i293-p238,-6,1.0,-6,-3,0.99,-15,0,1,True,0,False,1
i294-p238,-6,1.0,-6,-3,0.99,-15,0,1,True,0,True,5
i295-p239,14,1.0,14,18,0.6,9,1,2,False,0,True,3
i296-p240,105,0.25,0,32,0.99,29,0,1,False,1,True,4
i297-p241,19,0.8,8,28,0.95,6,0,1,False,0,False,1
i298-p241,19,0.8,8,28,0.95,6,0,1,False,0,True,5
i299-p242,51,0.2,11,77,0.4,-3,0,1,False,1,True,3
i300-p243,16,1.0,16,18,0.8,6,0,1,False,0,True,5
i301-p244,15,0.2,-5,88,0.1,-14,1,8,True,0,True,4
i302-p245,8,0.99,-25,58,0.25,-3,3,4,False,0,False,1
i303-p245,8,0.99,-25,58,0.25,-3,3,4,False,0,True,3
i304-p246,52,0.2,-24,36,0.4,-25,1,8,False,0,True,4
i305-p247,8,0.6,-2,92,0.01,6,0,1,False,1,True,5
i306-p248,37,0.5,-23,7,1.0,7,1,4,False,0,True,3
i307-p249,51,0.2,17,16,0.99,6,1,4,False,0,True,4
i308-p250,-1,1.0,-1,77,0.1,-10,1,6,False,0,True,4
i309-p251,68,0.25,0,17,1.0,17,0,1,False,0,False,1
i310-p251,68,0.25,0,17,1.0,17,0,1,False,0,True,4
i311-p252,-10,1.0,-10,57,0.1,-17,3,3,False,0,False,1
i312-p253,1,1.0,1,-7,0.75,-8,1,8,False,0,True,5
i313-p254,109,0.25,-24,13,0.95,-50,1,2,False,0,True,2
i314-p255,58,0.01,1,27,0.1,0,1,4,False,0,False,1
i315-p256,7,1.0,7,35,0.05,2,3,6,False,0,True,5
i316-p257,15,1.0,15,67,0.1,13,2,7,False,0,True,2
i317-p258,30,0.25,-13,46,0.05,-3,0,1,False,1,False,1
i318-p259,28,1.0,28,39,0.9,-35,0,1,False,0,True,3
i319-p260,6,1.0,6,25,0.75,-35,0,1,False,0,False,1
i320-p260,6,1.0,6,25,0.75,-35,0,1,False,0,True,5
i321-p261,35,0.2,-9,-2,0.1,-6,2,8,False,0,False,1
i322-p262,8,1.0,8,19,0.25,1,1,6,False,0,False,1
i323-p262,8,1.0,8,19,0.25,1,1,6,False,0,True,5
i324-p263,50,0.01,15,17,0.6,5,1,4,False,0,True,5
i325-p264,35,0.5,5,29,0.6,8,3,3,True,0,True,5
i326-p265,56,0.2,-10,79,0.25,-13,3,4,False,0,False,1
i327-p266,8,0.75,-12,3,1.0,3,0,1,False,0,False,1
i328-p266,8,0.75,-12,3,1.0,3,0,1,False,0,True,3
i329-p267,36,0.1,8,29,0.5,16,1,8,False,0,True,2
i330-p268,67,0.05,13,32,0.25,4,1,4,False,0,False,1
i331-p268,67,0.05,13,32,0.25,4,1,4,False,0,True,3
i332-p269,6,0.2,-4,2,0.4,-7,1,8,False,1,True,4
i333-p270,10,1.0,10,43,0.2,7,0,1,False,0,False,1
i334-p270,10,1.0,10,43,0.2,7,0,1,False,0,True,2
i335-p271,24,1.0,24,34,0.01,25,1,6,False,0,False,1
i336-p272,5,1.0,5,27,0.5,-18,0,1,False,0,True,5
i337-p273,15,1.0,15,58,0.6,-49,1,8,False,0,False,1
i338-p273,15,1.0,15,58,0.6,-49,1,8,False,0,True,4
i339-p274,89,0.2,6,66,0.2,11,3,6,False,0,True,2
i340-p275,25,0.75,-20,12,0.6,7,0,1,False,0,True,4
i341-p276,1,0.9,1,50,0.2,-12,1,8,False,0,True,4
i342-p277,29,0.99,11,46,0.4,21,2,2,False,0,False,1
i343-p277,29,0.99,11,46,0.4,21,2,2,False,0,True,2
i344-p278,25,0.95,5,45,0.05,22,0,1,True,0,True,2
i345-p279,16,1.0,16,16,0.95,-6,0,1,False,0,False,1
i346-p280,3,1.0,3,20,0.25,9,2,3,False,0,True,3
i347-p281,23,1.0,23,39,0.2,21,1,8,False,0,True,3
i348-p282,49,0.1,9,32,0.2,-2,2,6,False,-1,True,3
i349-p283,9,0.5,-23,66,0.01,-2,1,4,False,0,False,1
i350-p284,22,1.0,22,38,0.4,31,0,1,False,0,False,1
i351-p285,22,0.2,-3,24,0.6,-16,0,1,True,0,False,1
i352-p285,22,0.2,-3,24,0.6,-16,0,1,True,0,True,4
i353-p286,38,0.4,-9,9,0.9,-10,2,3,False,0,True,3
i354-p287,6,0.25,-15,-10,1.0,-10,2,6,False,0,True,4
i355-p288,37,0.05,19,40,0.4,20,0,1,False,0,False,1
i356-p288,37,0.05,19,40,0.4,20,0,1,False,0,True,5
i357-p289,19,1.0,19,19,1.0,19,3,2,False,0,True,3
i358-p290,28,0.8,25,41,0.01,26,2,6,False,0,True,2
i359-p291,21,1.0,21,57,0.5,-26,0,1,True,0,True,5
i360-p292,10,1.0,10,60,0.5,-48,1,8,False,0,True,2
i361-p293,32,0.1,26,88,0.05,20,2,2,True,0,True,3
i362-p294,65,0.2,16,58,0.1,17,0,1,False,0,True,4
i363-p295,61,0.2,-9,-1,0.8,-6,1,8,True,0,False,1
i364-p295,61,0.2,-9,-1,0.8,-6,1,8,True,0,True,4
i365-p296,73,0.01,17,69,0.01,13,1,4,False,0,False,1
i366-p297,40,0.6,-22,11,0.75,-6,0,1,False,0,True,3
i367-p298,-8,1.0,-8,3,0.8,-34,0,1,False,0,True,5
i368-p299,19,0.9,18,16,0.99,-20,0,1,True,0,False,1
i369-p299,19,0.9,18,16,0.99,-20,0,1,True,0,True,2
i370-p300,8,1.0,8,77,0.2,-13,1,4,False,0,True,5
i371-p301,-4,0.8,-9,63,0.2,-26,2,4,True,-1,True,5
i372-p302,-1,1.0,-1,1,0.75,-18,0,1,False,0,True,5
i373-p303,36,0.5,22,41,0.25,29,1,4,True,0,True,5
i374-p304,30,1.0,30,94,0.1,31,0,1,True,0,False,1
i375-p305,83,0.5,-35,37,0.8,-11,1,4,False,1,True,5
i376-p306,8,1.0,8,10,0.99,7,0,1,False,0,False,1
i377-p306,8,1.0,8,10,0.99,7,0,1,False,0,True,4
i378-p307,-7,1.0,-7,16,0.2,-25,0,1,False,0,True,3
i379-p308,11,1.0,11,79,0.01,10,0,1,False,0,False,1
i380-p308,11,1.0,11,79,0.01,10,0,1,False,0,True,5
i381-p309,9,1.0,9,9,0.5,5,0,1,True,0,True,3
i382-p310,61,0.05,-1,22,0.05,-4,1,8,False,0,True,5
i383-p311,1,1.0,1,-2,0.1,-11,0,1,False,0,False,1
i384-p311,1,1.0,1,-2,0.1,-11,0,1,False,0,True,5
i385-p312,16,1.0,16,46,0.05,18,0,1,False,0,True,5
i386-p313,26,1.0,26,29,0.1,26,0,1,False,0,False,1
i387-p314,9,0.2,-11,-9,0.99,-10,0,1,False,0,False,1
i388-p314,9,0.2,-11,-9,0.99,-10,0,1,False,0,True,2
i389-p315,11,1.0,11,31,0.4,-12,0,1,False,0,True,3
i390-p316,18,0.95,3,8,0.9,-5,0,1,False,1,False,1
i391-p317,41,0.25,24,28,1.0,28,0,1,False,0,True,4
i392-p318,2,1.0,2,73,0.2,-19,0,1,False,0,False,1
i393-p318,2,1.0,2,73,0.2,-19,0,1,False,0,True,5
